X_54N,Y_54N,depth_m,M1_01,date,time,ID,lat10,lon10
-177610,3788554,-27700,-0.1,20200101,22043222,L_47,34.018611110000000,133.668333300000000
-175361,3790349,-31690,-0.4,20200101,22112292,L_48,34.036111110000000,133.691111100000000
-271714,3736818,-27250,0.3,20200101,23010118,L_49,33.492222220000000,132.703888900000000
-176113,3787080,-34820,0.0,20200101,23064590,L_50,34.006388889999900,133.685555599999000
-156173,3790884,-22240,0.0,20200101,23113231,L_51,34.053055559999900,133.896944399999000
-155704,3789827,-28290,-0.1,20200101,23121645,L_52,34.043888889999900,133.902777799999000
-178451,3786938,-26560,0.0,20200101,23132511,L_53,34.003611110000000,133.660555600000000
-176283,3786161,-26680,-0.1,20200101,23134560,L_54,33.998055559999900,133.684444399999000
-175447,3790231,-26930,-0.4,20200101,23181659,L_55,34.034999999999900,133.690277799999000
-175390,3787432,-31360,0.0,20200101,23304460,L_56,34.009999999999900,133.693055600000000
-175390,3787432,-31360,0.0,20200101,23304775,L_57,34.009999999999900,133.693055600000000
-174704,3789774,-30050,-0.2,20200101,23454998,L_58,34.031388890000000,133.698611099999000
-175055,3787408,-30350,0.0,20200102,81053,L_59,34.009999999999900,133.696666700000000
-173802,3790827,-31350,-0.3,20200102,83762,L_60,34.041388890000000,133.707500000000000
-179871,3784462,-30150,-0.1,20200102,84268,L_61,33.980555559999900,133.647222199999000
-176588,3788387,-30280,-0.2,20200102,85670,L_62,34.017777780000000,133.679444399999000
-177329,3785273,-30150,-0.1,20200102,85963,L_63,33.989444440000000,133.673888900000000
-178081,3785607,-31570,0.1,20200102,93328,L_64,33.991944439999900,133.665555600000000
-181809,3788423,-28490,0.0,20200102,94991,L_65,34.014722220000000,133.623333300000000
-177009,3784691,-27180,-0.1,20200102,100725,L_66,33.984444439999900,133.677777800000000
-177397,3789719,-30510,-0.1,20200102,110285,L_67,34.029166670000000,133.669722199999000
-179290,3788924,-27540,0.0,20200102,120865,L_68,34.020833330000000,133.650000000000000
-179145,3787360,-26500,-0.4,20200102,194598,L_69,34.006944439999900,133.652777799999000
-179111,3785681,-34590,-0.2,20200102,323995,L_70,33.991944439999900,133.654444399999000
-175851,3787123,-34590,-0.1,20200102,370845,L_71,34.006944439999900,133.688333300000000
